ch1,ch2,ch3,ch4,tag,name
782.4908447,804.2490845,753.4798584,770.8058472,F,AG
778.0585938,803.4432373,753.0769043,762.3442993,F,AG
799.0109863,811.5018311,757.1062012,781.2820435,F,AG
808.6813354,812.3076782,764.7619019,781.2820435,F,AG
800.2197876,818.3516235,774.0292969,772.8204956,F,AG
803.0402832,836.8864746,763.1502075,778.4615479,F,AG
805.8607788,844.1392212,754.6886597,787.3259888,F,AG
799.8168335,810.6959839,753.4798584,784.1025391,F,AG
789.3406372,804.2490845,760.3296509,776.8497925,F,AG
797.399292,799.4139404,772.4176025,786.1171875,F,AG
802.234436,807.8754883,769.1941528,787.7289429,F,AG
795.7875366,830.0366211,769.5970459,788.131897,F,AG
782.0878906,813.9194336,767.5823975,773.2234497,F,AG
779.6703491,823.9926758,763.9560547,759.9267578,F,AG
780.8791504,847.3626099,757.5091553,754.2857056,F,AG
779.267395,843.7362671,775.2380981,757.5091553,F,AG
781.6849976,835.2747192,762.3442993,763.9560547,F,AG
784.1025391,825.6043701,759.5238037,767.5823975,F,AG
782.8937988,805.4578857,784.5054932,769.5970459,F,AG
775.2380981,814.3223267,772.8204956,766.7765503,F,AG
776.8497925,835.6776733,765.567749,774.432251,F,AG
775.6410522,836.0805664,778.8644409,780.0732422,F,AG
769.5970459,832.0512695,775.2380981,774.432251,F,AG
771.2088013,822.7838745,772.4176025,771.2088013,F,AG
780.0732422,798.6080322,780.0732422,782.4908447,F,AG
792.967041,801.8314819,772.8204956,790.1465454,F,AG
787.3259888,826.0073242,778.4615479,781.6849976,F,AG
783.699646,834.065918,787.7289429,774.0292969,F,AG
791.7582397,840.9157715,790.1465454,788.131897,F,AG
793.7728882,856.6300659,808.2783813,796.9963379,F,AG
784.1025391,851.7948608,794.9816895,784.1025391,F,AG
779.267395,854.2124634,775.6410522,783.699646,F,AG
786.1171875,873.1502075,784.5054932,796.5933838,F,AG
786.5201416,892.8937988,790.5494385,796.1904907,F,AG
784.5054932,909.4139404,789.3406372,793.3699341,F,AG
782.4908447,907.8021851,782.0878906,788.9377441,F,AG
786.5201416,903.3699341,776.8497925,791.7582397,F,AG
815.1282349,817.1428833,799.8168335,826.0073242,F,AG
801.4285889,848.9743652,798.6080322,819.9633789,F,AG
790.1465454,867.9121094,794.1758423,809.8901367,F,AG
800.2197876,869.1208496,806.666687,817.5457764,F,AG
795.7875366,852.600708,805.8607788,821.1721802,F,AG
791.7582397,827.6190186,798.6080322,821.5750732,F,AG
772.4176025,803.4432373,784.9084473,794.5787354,F,AG
765.9707031,761.9414063,783.2966919,786.1171875,F,AG
778.8644409,730.5128174,796.5933838,804.6520386,F,AG
782.4908447,778.8644409,808.2783813,805.4578857,F,AG
782.8937988,796.1904907,802.234436,790.5494385,F,AG
