ch1,ch2,ch3,ch4,tag,name
825.2014771,810.6959839,803.4432373,821.9780273,F,HK
825.2014771,812.7106323,809.8901367,805.4578857,F,HK
801.4285889,807.8754883,802.6373901,819.5604248,F,HK
819.1575317,812.3076782,808.6813354,822.3809814,F,HK
820.366272,819.1575317,809.4871826,827.6190186,F,HK
816.3369751,817.1428833,815.5311279,817.1428833,F,HK
811.5018311,801.4285889,802.234436,1091.941406,F,HK
812.7106323,814.3223267,799.4139404,821.9780273,F,HK
814.3223267,803.8461304,800.2197876,804.6520386,F,HK
809.0842285,803.0402832,796.5933838,804.6520386,F,HK
826.4102783,811.9047852,797.8021851,807.8754883,F,HK
792.967041,805.0549316,796.1904907,796.9963379,F,HK
789.7435913,804.6520386,800.6226807,641.0622559,F,HK
821.9780273,805.8607788,799.8168335,817.9487305,F,HK
801.0256348,800.6226807,799.4139404,845.7509155,F,HK
808.6813354,805.4578857,799.0109863,810.6959839,F,HK
803.4432373,799.4139404,798.6080322,811.5018311,F,HK
810.6959839,806.666687,802.6373901,806.666687,F,HK
784.1025391,806.666687,795.7875366,781.2820435,F,HK
826.8131714,807.4725342,799.4139404,832.4542236,F,HK
805.4578857,805.0549316,801.0256348,803.4432373,F,HK
811.9047852,805.4578857,798.6080322,812.7106323,F,HK
810.6959839,807.8754883,803.8461304,802.234436,F,HK
823.1868286,806.2637329,799.8168335,808.2783813,F,HK
792.967041,801.0256348,801.8314819,804.2490845,F,HK
818.3516235,810.2930298,800.2197876,815.934082,F,HK
808.2783813,806.666687,801.4285889,810.2930298,F,HK
792.5640869,811.098877,805.0549316,795.7875366,F,HK
804.6520386,803.8461304,799.0109863,799.0109863,F,HK
814.3223267,809.8901367,804.2490845,823.9926758,F,HK
824.3956299,810.2930298,797.399292,812.7106323,F,HK
810.6959839,796.5933838,800.6226807,819.9633789,F,HK
809.8901367,810.2930298,798.2051392,804.6520386,F,HK
807.8754883,803.0402832,798.6080322,814.3223267,F,HK
812.7106323,804.2490845,799.0109863,785.7142944,F,HK
812.7106323,810.2930298,800.2197876,806.2637329,F,HK
801.0256348,803.0402832,795.7875366,801.4285889,F,HK
802.234436,805.4578857,798.6080322,811.5018311,F,HK
803.4432373,803.0402832,799.8168335,814.7252808,F,HK
819.5604248,806.666687,795.7875366,807.4725342,F,HK
809.8901367,807.4725342,800.6226807,808.2783813,F,HK
819.1575317,809.8901367,793.7728882,812.7106323,F,HK
836.0805664,796.9963379,803.8461304,839.3040161,F,HK
796.5933838,811.098877,798.6080322,786.9230957,F,HK
763.1502075,779.6703491,808.6813354,764.7619019,F,HK
839.7069702,815.1282349,797.8021851,835.6776733,F,HK
815.5311279,803.4432373,807.8754883,817.5457764,F,HK
763.1502075,790.5494385,805.0549316,767.9853516,F,HK
768.7911987,788.53479,803.4432373,775.6410522,F,HK
803.4432373,795.3846436,800.2197876,801.0256348,F,HK
819.5604248,821.1721802,801.0256348,814.7252808,F,HK
771.6116943,789.7435913,803.4432373,776.8497925,F,HK
778.4615479,812.7106323,803.4432373,780.4761963,F,HK
836.0805664,827.2161255,801.8314819,823.1868286,F,HK
811.9047852,815.1282349,798.6080322,803.4432373,F,HK
753.4798584,795.3846436,803.4432373,762.7472534,F,HK
809.0842285,814.7252808,799.4139404,812.7106323,F,HK
786.5201416,797.8021851,803.0402832,786.5201416,F,HK
810.6959839,789.3406372,803.4432373,824.3956299,F,HK
818.3516235,808.6813354,798.6080322,819.1575317,F,HK
775.2380981,813.1135254,803.0402832,775.2380981,F,HK
798.6080322,771.6116943,799.8168335,799.0109863,F,HK
841.3186646,806.2637329,803.0402832,840.5128174,F,HK
780.8791504,800.2197876,804.2490845,782.8937988,F,HK
778.4615479,789.7435913,796.9963379,776.4468994,F,HK
821.5750732,809.8901367,799.8168335,813.5164795,F,HK
818.7545776,817.5457764,799.8168335,812.3076782,F,HK
776.4468994,782.0878906,803.4432373,772.8204956,F,HK
798.2051392,800.6226807,801.0256348,784.9084473,F,HK
826.8131714,806.666687,791.7582397,822.3809814,F,HK
811.098877,810.2930298,798.2051392,805.8607788,F,HK
844.9450684,803.8461304,802.234436,832.4542236,B,HK
775.2380981,790.1465454,799.8168335,785.7142944,B,HK
765.567749,786.1171875,801.4285889,789.3406372,B,HK
791.7582397,805.4578857,799.8168335,787.7289429,B,HK
796.9963379,800.6226807,814.3223267,775.6410522,B,HK
827.6190186,809.4871826,801.4285889,825.2014771,B,HK
783.699646,795.3846436,801.8314819,771.2088013,B,HK
780.0732422,779.6703491,796.5933838,800.6226807,B,HK
831.2454224,805.4578857,796.5933838,816.3369751,B,HK
773.2234497,791.3552856,810.2930298,793.7728882,B,HK
