RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Value
850.58606,793.7729,810.696,832.0513,F
834.87177,780.07324,813.5165,847.3626,F
863.0769,792.1612,805.8608,823.1868,F
805.8608,764.35895,802.6374,828.022,F
902.96704,777.6557,770.80585,898.1319,F
773.6264,783.69965,804.65204,831.6484,F
923.1135,765.16486,816.7399,815.5311,F
789.7436,810.696,836.8865,807.8755,F
883.6264,809.89014,832.8571,785.31134,F
885.2381,787.72894,808.2784,822.7839,F
817.9487,780.4762,821.978,846.9597,F
756.7033,777.25275,818.7546,804.65204,F
897.326,843.3333,811.9048,844.5421,F
809.4872,846.1539,848.5714,778.46155,F
593.1135,722.8571,838.9011,813.5165,F
844.5421,766.77655,808.68134,810.696,F
886.04395,795.78754,817.9487,816.337,F
727.28937,746.63007,744.61536,822.7839,F
774.43225,811.0989,853.4066,809.0842,F
837.6923,784.90845,827.2161,803.0403,F
838.49817,792.5641,802.23444,802.6374,F
841.7216,795.38464,821.978,838.49817,F
907.8022,799.011,813.1135,822.7839,F
855.0183,782.49084,814.7253,823.5897,F
821.1722,797.8022,804.2491,835.6777,F
792.96704,790.14655,824.7985,824.7985,F
866.7033,745.42126,755.09155,857.8388,F
838.0952,815.9341,823.1868,852.1978,F
743.00366,818.7546,823.1868,804.2491,F
823.1868,796.1905,809.0842,800.6227,F
784.90845,794.57874,816.7399,808.2784,F
817.9487,809.89014,818.3516,840.5128,F
750.2564,809.0842,813.91943,806.26373,F
646.30035,811.0989,810.696,804.2491,F
720.84247,795.78754,813.1135,816.7399,F
840.9158,798.60803,815.5311,817.1429,F
875.9707,798.20514,801.8315,845.34796,F
868.71796,808.68134,803.0403,821.1722,F
862.27106,777.25275,787.326,815.5311,F
794.9817,794.57874,810.696,821.1722,F
879.59705,815.12823,817.1429,821.5751,F
684.57874,792.96704,780.07324,809.0842,F
900.14655,808.2784,828.8278,835.2747,F
886.8498,787.326,823.5897,790.54944,F
860.65936,813.91943,815.5311,816.337,F
848.97437,811.0989,816.7399,835.6777,F
826.8132,804.2491,813.91943,824.3956,F
833.2601,818.7546,807.0696,807.47253,F
819.15753,780.4762,816.7399,801.02563,F
828.4249,803.44324,805.8608,801.8315,F
847.3626,785.7143,808.2784,818.7546,F
846.1539,444.0293,813.5165,805.4579,F
853.00366,617.6923,809.89014,821.5751,F
844.1392,838.49817,822.381,820.3663,F
817.1429,813.5165,813.91943,824.3956,F
834.4689,852.1978,843.73627,859.45056,F
838.49817,845.34796,881.2088,811.50183,F
825.2015,818.7546,871.53845,800.2198,F
798.60803,825.6044,835.6777,782.49084,F
826.4103,772.8205,819.5604,824.7985,F
819.5604,770,827.619,790.54944,B
813.1135,774.0293,821.1722,780.4762,B
809.0842,786.52014,810.293,800.6227,B
825.2015,796.5934,813.91943,796.5934,B
780.07324,775.2381,817.9487,797.8022,B
829.2308,842.1245,936.8132,821.1722,B
756.7033,757.50916,874.35895,753.0769,B
826.4103,801.4286,821.978,799.011,B
848.97437,750.65936,813.5165,829.6337,B
830.4396,816.7399,822.7839,815.9341,B
772.8205,792.96704,812.71063,815.12823,B
768.3883,793.7729,814.7253,816.337,B
894.90845,800.2198,817.1429,823.5897,B
848.5714,799.011,809.4872,815.5311,B
889.2674,819.15753,818.3516,818.3516,B
705.5311,809.89014,805.05493,810.696,B
941.2454,820.3663,743.00366,883.22345,B
711.1722,777.6557,846.55676,785.7143,B
799.41394,798.60803,810.293,781.685,B
928.7546,820.3663,812.3077,800.2198,B
797.8022,840.5128,817.1429,789.34064,B
829.2308,813.91943,815.5311,784.10254,B
817.5458,810.696,809.89014,806.26373,B
759.12085,819.9634,814.3223,794.9817,B
825.6044,772.8205,807.47253,806.6667,B
734.5421,749.85345,811.50183,826.0073,B
775.2381,699.0842,746.2271,823.1868,B
835.6777,886.04395,840.9158,787.72894,B
824.3956,802.6374,829.2308,811.9048,B
882.4176,754.68866,812.3077,814.3223,B
844.5421,800.2198,790.54944,823.9927,B
818.3516,1002.0879,813.91943,809.4872,B
785.31134,874.7619,810.696,807.47253,B
802.6374,902.96704,805.4579,792.96704,B
820.3663,858.24176,813.1135,821.5751,B
838.0952,860.65936,813.1135,830.84247,B
830.4396,884.83514,804.65204,809.89014,B
838.0952,855.0183,810.696,814.3223,B
836.8865,863.47986,793.36993,846.1539,B
794.9817,788.5348,819.5604,804.65204,B
803.0403,837.28937,826.4103,780.87915,B
819.9634,857.8388,811.50183,813.91943,B
814.7253,1048.4249,812.3077,805.8608,B
828.4249,893.2967,796.5934,815.12823,B
860.2564,976.30035,801.8315,854.61536,B
804.2491,782.8938,830.84247,801.8315,B
798.20514,952.9304,821.978,799.41394,B
809.0842,923.91943,812.71063,809.4872,B
878.3883,849.7802,813.5165,823.1868,B
808.2784,1334.1025,799.41394,788.93774,B
815.5311,979.5238,803.0403,814.3223,B
803.44324,939.2308,809.0842,802.23444,B
802.6374,759.12085,807.8755,806.6667,B
807.47253,830.4396,807.0696,811.50183,B
788.93774,760.7326,801.02563,799.81683,B
817.9487,875.9707,814.3223,810.696,B
821.1722,814.7253,803.44324,814.7253,B
819.9634,859.85345,800.6227,794.57874,B
807.47253,713.5897,803.0403,800.6227,L
806.6667,851.39197,803.0403,803.0403,L
810.696,912.23444,811.9048,817.9487,L
798.60803,689.011,794.9817,796.99634,L
805.8608,911.8315,799.011,792.96704,L
904.57874,855.42126,803.0403,806.6667,L
830.84247,894.90845,797.8022,823.1868,L
811.9048,804.2491,801.8315,809.0842,L
811.9048,881.6117,808.2784,822.7839,L
822.7839,930.7692,780.4762,834.0659,L
803.8461,766.77655,812.3077,797.8022,L
799.41394,696.6667,814.3223,790.54944,L
795.78754,827.2161,804.2491,793.36993,L
811.0989,806.26373,796.99634,804.65204,L
790.54944,743.8095,803.0403,789.34064,L
782.8938,890.07324,805.05493,784.10254,L
803.0403,787.326,806.6667,807.47253,L
798.60803,822.381,799.41394,792.1612,L
815.5311,869.12085,801.02563,800.6227,L
784.5055,790.9524,802.23444,767.5824,L
821.1722,916.6667,803.44324,820.7692,L
815.12823,755.89746,801.4286,813.1135,L
802.6374,783.69965,799.41394,802.23444,L
786.9231,985.16486,806.6667,794.57874,L
794.9817,895.7143,784.90845,792.96704,L
813.5165,820.3663,802.6374,662.8205,L
799.81683,823.1868,804.2491,811.9048,L
813.5165,966.63007,802.6374,818.3516,L
