ch1,ch2,ch3,ch4,Value,Tag
787.728942871094,799.413940429688,802.637390136719,799.413940429688,R,HK
790.549438476563,800.622680664062,806.666687011719,788.534790039062,R,HK
794.981689453125,788.534790039062,805.457885742188,798.205139160156,R,HK
808.681335449219,794.175842285156,804.249084472656,810.293029785156,R,HK
792.967041015625,800.219787597656,805.457885742188,776.0439453125,R,HK
802.234436035156,809.487182617188,805.457885742188,796.996337890625,R,HK
807.069580078125,799.816833496094,808.278381347656,815.93408203125,R,HK
807.87548828125,790.146545410156,805.860778808594,808.681335449219,R,HK
802.637390136719,799.413940429688,801.428588867188,796.190490722656,R,HK
815.531127929688,789.340637207031,807.472534179687,821.575073242187,R,HK
779.670349121094,814.725280761719,795.384643554688,771.208801269531,R,HK
800.622680664062,778.05859375,815.93408203125,809.487182617188,R,HK
817.142883300781,793.772888183594,804.249084472656,804.249084472656,R,HK
780.0732421875,803.443237304688,797.399291992187,778.461547851563,R,HK
782.490844726563,796.190490722656,801.025634765625,782.087890625,R,HK
808.681335449219,796.190490722656,805.054931640625,823.99267578125,R,HK
794.175842285156,797.399291992187,801.831481933594,805.860778808594,R,HK
803.846130371094,798.205139160156,806.666687011719,805.054931640625,R,HK
801.025634765625,793.369934082031,805.457885742188,802.637390136719,R,HK
795.384643554688,790.952392578125,798.608032226563,809.487182617188,R,HK
798.608032226563,790.549438476563,802.637390136719,808.681335449219,R,HK
813.516479492188,805.860778808594,806.263732910156,801.428588867188,R,HK
803.443237304688,798.608032226563,806.263732910156,797.399291992187,R,HK
800.622680664062,794.578735351563,800.219787597656,800.622680664062,R,HK
777.252746582031,818.754577636719,794.981689453125,783.699645996094,R,HK
799.010986328125,793.772888183594,797.399291992187,790.952392578125,R,HK
783.699645996094,800.622680664062,814.322326660156,799.816833496094,R,HK
799.413940429688,796.593383789063,800.219787597656,815.128234863281,R,HK
788.131896972656,796.190490722656,809.89013671875,792.967041015625,R,HK
819.157531738281,793.772888183594,806.263732910156,818.351623535156,R,HK
803.040283203125,796.190490722656,800.622680664062,795.787536621094,R,HK
810.293029785156,793.772888183594,809.084228515625,802.234436035156,R,HK
802.637390136719,794.175842285156,800.622680664062,811.90478515625,R,HK
798.608032226563,789.743591308594,804.249084472656,817.94873046875,R,HK
801.428588867188,793.772888183594,800.622680664062,800.219787597656,R,HK
800.219787597656,784.908447265625,804.652038574219,791.355285644531,R,HK
805.054931640625,798.608032226563,809.89013671875,801.025634765625,R,HK
798.608032226563,793.772888183594,805.457885742188,798.205139160156,R,HK
803.443237304688,800.622680664062,799.816833496094,790.952392578125,R,HK
796.190490722656,804.249084472656,804.652038574219,798.205139160156,R,HK
801.831481933594,790.952392578125,804.652038574219,794.981689453125,R,HK
805.457885742188,799.413940429688,805.457885742188,815.531127929688,R,HK
811.501831054687,794.578735351563,802.637390136719,807.472534179687,R,HK
790.549438476563,795.384643554688,800.219787597656,785.714294433594,R,HK
813.516479492188,796.190490722656,810.293029785156,805.860778808594,R,HK
812.710632324219,803.846130371094,805.054931640625,808.278381347656,R,HK
797.399291992187,792.564086914063,806.666687011719,794.578735351563,R,HK
804.249084472656,800.622680664062,797.802185058594,793.772888183594,R,HK
773.223449707031,802.637390136719,808.278381347656,753.8828125,R,HK
808.278381347656,795.787536621094,803.040283203125,808.278381347656,R,HK
791.758239746094,802.637390136719,797.399291992187,782.087890625,R,HK
803.443237304688,799.010986328125,805.457885742188,796.190490722656,R,HK
812.307678222656,797.802185058594,793.772888183594,798.205139160156,R,HK
795.384643554688,805.860778808594,801.428588867188,790.549438476563,R,HK
799.816833496094,786.923095703125,812.710632324219,808.278381347656,R,HK
785.714294433594,794.981689453125,807.87548828125,793.369934082031,R,HK
791.355285644531,794.981689453125,802.637390136719,800.219787597656,R,HK
800.622680664062,795.384643554688,808.278381347656,809.487182617188,R,HK
802.637390136719,800.622680664062,802.234436035156,795.787536621094,R,HK
807.069580078125,794.981689453125,803.846130371094,813.91943359375,R,HK
807.069580078125,801.025634765625,801.428588867188,798.205139160156,R,HK
